% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 4 2023, 21:07"
% Dimension,1
% Nodes,5427
% Expressions,1
% Description,Global
% Integration 1 (mm);Integration 1
29.925;8825.9
30.150;8835.8
30.375;8845.6
30.600;8855.2
30.825;8864.7
31.050;8874.0
31.275;8883.1
31.500;8892.1
31.725;8900.9
31.950;8909.6
32.175;8918.1
32.400;8926.4
32.625;8934.6
32.850;8942.7
33.075;8950.6
33.300;8958.4
33.525;8966.0
33.750;8973.5
33.975;8980.9
34.200;8988.1
34.425;8995.2
34.650;9002.2
34.875;9009.1
35.100;9015.8
35.325;9022.4
35.550;9028.9
35.775;9035.3
36.000;9041.5
36.225;9047.7
36.450;9053.7
36.675;9059.6
36.900;9065.4
37.125;9071.1
37.350;9076.7
37.575;9082.2
37.800;9087.6
38.025;9092.9
38.250;9098.1
38.475;9103.2
38.700;9108.2
38.925;9113.1
39.150;9118.0
39.375;9122.7
39.600;9127.3
39.825;9131.9
40.050;9136.4
40.275;9140.7
40.500;9145.0
40.725;9149.3
40.950;9153.4
41.175;9157.5
41.400;9161.5
41.625;9165.4
41.850;9169.2
42.075;9173.0
42.300;9176.6
42.525;9180.3
42.750;9183.8
42.975;9187.3
43.200;9190.7
43.425;9194.1
43.650;9197.3
43.875;9200.6
44.100;9203.7
44.325;9206.8
44.550;9209.8
44.775;9212.8
45.000;9215.7
8.9918E-5;1.0327
0.22502;2584.4
0.45004;5168.9
0.67503;5678.9
0.90002;5787.1
1.1250;5888.2
1.3500;5984.3
1.5750;6076.3
1.8000;6164.7
2.0250;6250.3
2.2500;6333.3
2.4750;6414.1
2.7000;6492.8
2.9250;6569.7
3.1500;6644.7
3.3750;6718.2
3.6000;6790.2
3.8250;6860.7
4.0500;6929.9
4.2750;6997.8
4.5000;7064.4
4.7250;7129.8
4.9500;7193.9
5.1750;7256.9
5.4000;7318.8
5.6250;7379.6
5.8500;7439.4
6.0750;7498.2
6.3000;7556.0
6.5250;7612.9
6.7500;7668.8
6.9750;7723.7
7.2000;7777.7
7.4250;7830.9
7.6500;7883.1
7.8750;7934.5
8.1000;7985.1
8.3250;8034.8
8.5500;8083.7
8.7750;8131.8
9.0000;8179.1
9.2250;8225.6
9.4500;8271.4
9.6750;8316.5
9.9000;8360.8
10.125;8404.4
10.350;8447.3
10.575;8489.6
10.800;8531.2
11.025;8572.0
11.250;8612.2
