% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 6 2023, 10:22"
% Dimension,1
% Nodes,201
% Expressions,27
% Description,Point graph
80.000;0.016982;0.016804;0.017122;0.017067;0.016885;0.017209;0.017159;0.016973;0.017304;0.016758;0.016591;0.016890;0.016838;0.016667;0.016974;0.016927;0.016750;0.017066;0.017256;0.017066;0.017401;0.017344;0.017151;0.017492;0.017441;0.017244;0.017590
85.000;0.018001;0.017808;0.018155;0.018089;0.017891;0.018246;0.018185;0.017982;0.018345;0.017765;0.017587;0.017910;0.017849;0.017664;0.017997;0.017940;0.017749;0.018093;0.018289;0.018083;0.018450;0.018381;0.018170;0.018545;0.018482;0.018267;0.018648
90.000;0.019017;0.018811;0.019185;0.019107;0.018895;0.019279;0.019207;0.018988;0.019382;0.018770;0.018582;0.018928;0.018856;0.018661;0.019018;0.018951;0.018747;0.019116;0.019319;0.019096;0.019496;0.019414;0.019187;0.019594;0.019519;0.019287;0.019702
95.000;0.020031;0.019813;0.020211;0.020124;0.019898;0.020308;0.020226;0.019993;0.020415;0.019773;0.019576;0.019943;0.019861;0.019656;0.020035;0.019958;0.019744;0.020137;0.020346;0.020108;0.020538;0.020444;0.020201;0.020640;0.020552;0.020303;0.020751
100.00;0.021042;0.020814;0.021236;0.021137;0.020900;0.021336;0.021242;0.020996;0.021445;0.020776;0.020568;0.020956;0.020865;0.020649;0.021051;0.020963;0.020739;0.021155;0.021371;0.021118;0.021578;0.021472;0.021212;0.021683;0.021583;0.021317;0.021798
105.00;0.022052;0.021813;0.022258;0.022149;0.021901;0.022361;0.022256;0.021999;0.022473;0.021778;0.021560;0.021966;0.021868;0.021642;0.022064;0.021968;0.021734;0.022171;0.022394;0.022128;0.022614;0.022497;0.022223;0.022722;0.022611;0.022329;0.022841
110.00;0.023062;0.022813;0.023279;0.023159;0.022901;0.023383;0.023268;0.023000;0.023499;0.022779;0.022551;0.022976;0.022870;0.022635;0.023075;0.022971;0.022727;0.023185;0.023415;0.023137;0.023649;0.023520;0.023233;0.023759;0.023636;0.023340;0.023881
115.00;0.024071;0.023811;0.024298;0.024169;0.023901;0.024405;0.024279;0.024001;0.024522;0.023779;0.023540;0.023985;0.023872;0.023626;0.024085;0.023974;0.023720;0.024196;0.024434;0.024145;0.024682;0.024541;0.024242;0.024795;0.024660;0.024350;0.024919
120.00;0.025079;0.024810;0.025316;0.025178;0.024900;0.025424;0.025290;0.025001;0.025544;0.024779;0.024530;0.024994;0.024872;0.024616;0.025095;0.024976;0.024712;0.025207;0.025452;0.025153;0.025713;0.025561;0.025251;0.025828;0.025682;0.025360;0.025955
125.00;0.026087;0.025807;0.026333;0.026188;0.025899;0.026442;0.026299;0.026000;0.026564;0.025779;0.025520;0.026002;0.025873;0.025606;0.026104;0.025977;0.025703;0.026217;0.026471;0.026160;0.026743;0.026580;0.026259;0.026860;0.026702;0.026369;0.026989
130.00;0.027095;0.026805;0.027349;0.027196;0.026897;0.027459;0.027309;0.027000;0.027582;0.026778;0.026509;0.027011;0.026873;0.026596;0.027113;0.026978;0.026693;0.027227;0.027488;0.027168;0.027772;0.027598;0.027266;0.027890;0.027721;0.027378;0.028021
135.00;0.028103;0.027802;0.028366;0.028204;0.027895;0.028476;0.028318;0.027998;0.028600;0.027777;0.027499;0.028018;0.027873;0.027586;0.028121;0.027979;0.027684;0.028236;0.028506;0.028175;0.028800;0.028616;0.028274;0.028919;0.028740;0.028386;0.029053
140.00;0.029110;0.028799;0.029383;0.029212;0.028892;0.029493;0.029326;0.028997;0.029618;0.028776;0.028489;0.029026;0.028872;0.028576;0.029130;0.028979;0.028675;0.029246;0.029524;0.029182;0.029827;0.029634;0.029282;0.029948;0.029758;0.029394;0.030083
145.00;0.030118;0.029797;0.030399;0.030220;0.029890;0.030510;0.030334;0.029994;0.030635;0.029774;0.029478;0.030034;0.029871;0.029567;0.030138;0.029979;0.029665;0.030254;0.030541;0.030189;0.030854;0.030652;0.030289;0.030975;0.030776;0.030401;0.031111
150.00;0.031126;0.030795;0.031416;0.031228;0.030888;0.031527;0.031343;0.030992;0.031652;0.030773;0.030468;0.031042;0.030870;0.030557;0.031146;0.030979;0.030656;0.031263;0.031559;0.031196;0.031881;0.031670;0.031296;0.032002;0.031795;0.031409;0.032139
155.00;0.032133;0.031793;0.032432;0.032236;0.031886;0.032544;0.032351;0.031991;0.032669;0.031772;0.031459;0.032050;0.031869;0.031547;0.032154;0.031978;0.031646;0.032271;0.032577;0.032203;0.032908;0.032687;0.032304;0.033029;0.032813;0.032417;0.033167
160.00;0.033141;0.032791;0.033449;0.033244;0.032884;0.033561;0.033359;0.032989;0.033686;0.032772;0.032449;0.033058;0.032868;0.032538;0.033162;0.032977;0.032637;0.033279;0.033595;0.033211;0.033935;0.033705;0.033311;0.034057;0.033830;0.033424;0.034194
165.00;0.034149;0.033790;0.034466;0.034251;0.033883;0.034578;0.034367;0.033987;0.034703;0.033772;0.033440;0.034066;0.033868;0.033528;0.034171;0.033977;0.033628;0.034288;0.034613;0.034219;0.034963;0.034723;0.034318;0.035084;0.034848;0.034431;0.035221
170.00;0.035157;0.034790;0.035484;0.035259;0.034882;0.035595;0.035375;0.034986;0.035720;0.034772;0.034431;0.035074;0.034868;0.034519;0.035179;0.034977;0.034619;0.035296;0.035632;0.035227;0.035991;0.035742;0.035326;0.036111;0.035866;0.035439;0.036249
175.00;0.036166;0.035789;0.036502;0.036268;0.035881;0.036612;0.036383;0.035985;0.036737;0.035773;0.035423;0.036082;0.035869;0.035511;0.036187;0.035977;0.035610;0.036305;0.036651;0.036236;0.037019;0.036760;0.036335;0.037139;0.036885;0.036447;0.037276
180.00;0.037175;0.036790;0.037520;0.037276;0.036881;0.037630;0.037391;0.036985;0.037755;0.036774;0.036415;0.037091;0.036869;0.036502;0.037195;0.036977;0.036601;0.037313;0.037670;0.037246;0.038048;0.037779;0.037343;0.038168;0.037903;0.037455;0.038304
185.00;0.038185;0.037790;0.038539;0.038286;0.037881;0.038648;0.038400;0.037985;0.038773;0.037776;0.037407;0.038100;0.037871;0.037494;0.038204;0.037978;0.037593;0.038322;0.038690;0.038256;0.039077;0.038799;0.038353;0.039196;0.038922;0.038464;0.039332
190.00;0.039196;0.038792;0.039557;0.039295;0.038882;0.039667;0.039409;0.038985;0.039791;0.038778;0.038401;0.039111;0.038872;0.038487;0.039213;0.038980;0.038585;0.039330;0.039710;0.039267;0.040106;0.039818;0.039363;0.040225;0.039941;0.039473;0.040360
195.00;0.040207;0.039793;0.040577;0.040306;0.039883;0.040685;0.040419;0.039985;0.040809;0.039781;0.039394;0.040122;0.039875;0.039480;0.040223;0.039981;0.039578;0.040340;0.040731;0.040278;0.041137;0.040838;0.040373;0.041254;0.040960;0.040482;0.041388
